3.4245 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
14.7056 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=True, autoLog=True, backendConf=UNKNOWN, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000259D14C8040>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000259D5063070>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=8, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
14.7058 	EXP 	window1: mouseVisible = True
14.7060 	EXP 	window1: mouseVisible = False
14.7060 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
14.7060 	EXP 	window1: recordFrameIntervals = False
14.7738 	EXP 	window1: recordFrameIntervals = True
14.8505 	EXP 	Screen (0) actual frame rate measured at 143.67Hz
14.8505 	EXP 	window1: recordFrameIntervals = False
19.4083 	EXP 	Created GA = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=-1.0, interpolate=True, mask=None, maskParams=None, name='GA', opacity=1.0, ori=0.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([1., 1.]), size=array([32., 64.]), tex='sqr', texRes=512.0, units='deg', win=Window(...))
19.4123 	EXP 	Created aperture = Aperture(__class__=<class 'psychopy.visual.aperture.Aperture'>, anchor=('center', 'center'), autoLog=True, inverted=False, nVert=UNKNOWN, name='aperture', ori=0.0, pos=array([0., 0.]), shape=UNKNOWN, size=array([128.]), units='deg', win=Window(...))
19.5353 	EXP 	Created placeholder = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1, 1, 1]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='placeholder', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='Initial grating acuity\ntask', units='height', win=Window(...), wrapWidth=1)
19.5357 	EXP 	Created sequence: sequential, trialTypes=1, nReps=24, seed=None
19.5359 	EXP 	New trial (rep=0, index=0): None
19.5366 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
19.5368 	EXP 	New trial (rep=0, index=0): None
19.5932 	EXP 	aperture: enabled = False
19.5932 	EXP 	GA: sf = array([0.8, 0.8])
19.5932 	EXP 	aperture: enabled = True
19.5932 	EXP 	GA: autoDraw = True
19.5932 	EXP 	aperture: enabled = True
19.5932 	EXP 	GA: tex = 'sqr'
20.6089 	EXP 	GA: autoDraw = False
20.6089 	EXP 	aperture: enabled = False
20.6089 	EXP 	GA: autoDraw = False
20.6089 	EXP 	aperture: autoDraw = False
20.6089 	EXP 	aperture: enabled = False
20.6089 	EXP 	placeholder: autoDraw = True
21.5939 	EXP 	New trial (rep=1, index=0): None
21.6048 	EXP 	placeholder: autoDraw = False
21.6048 	EXP 	GA: sf = array([0.8, 0.8])
21.6048 	EXP 	aperture: enabled = True
21.6048 	EXP 	GA: autoDraw = True
21.6048 	EXP 	aperture: enabled = True
22.6049 	EXP 	GA: autoDraw = False
22.6049 	EXP 	aperture: enabled = False
22.6049 	EXP 	GA: autoDraw = False
22.6049 	EXP 	aperture: autoDraw = False
22.6049 	EXP 	aperture: enabled = False
22.6049 	EXP 	placeholder: autoDraw = True
23.6008 	EXP 	New trial (rep=2, index=0): None
23.6120 	EXP 	placeholder: autoDraw = False
23.6120 	EXP 	placeholder: autoDraw = False
23.6120 	EXP 	GA: sf = array([0.8, 0.8])
23.6120 	EXP 	aperture: enabled = True
23.6120 	EXP 	GA: autoDraw = True
23.6120 	EXP 	aperture: enabled = True
24.6136 	EXP 	GA: autoDraw = False
24.6136 	EXP 	aperture: enabled = False
24.6136 	EXP 	GA: autoDraw = False
24.6136 	EXP 	aperture: autoDraw = False
24.6136 	EXP 	aperture: enabled = False
24.6136 	EXP 	placeholder: autoDraw = True
25.6084 	EXP 	New trial (rep=3, index=0): None
25.6185 	EXP 	placeholder: autoDraw = False
25.6185 	EXP 	placeholder: autoDraw = False
25.6185 	EXP 	GA: sf = array([0.8, 0.8])
25.6185 	EXP 	aperture: enabled = True
25.6185 	EXP 	GA: autoDraw = True
25.6185 	EXP 	aperture: enabled = True
26.6168 	EXP 	GA: autoDraw = False
26.6168 	EXP 	aperture: enabled = False
26.6168 	EXP 	GA: autoDraw = False
26.6168 	EXP 	aperture: autoDraw = False
26.6168 	EXP 	aperture: enabled = False
26.6168 	EXP 	placeholder: autoDraw = True
27.6147 	EXP 	New trial (rep=1, index=0): None
27.6159 	EXP 	Created sequence: random, trialTypes=1, nReps=4, seed=None
27.6163 	EXP 	New trial (rep=0, index=0): None
27.6254 	EXP 	placeholder: autoDraw = False
27.6254 	EXP 	GA: sf = array([1.8, 1.8])
27.6254 	EXP 	aperture: enabled = True
27.6254 	EXP 	GA: autoDraw = True
27.6254 	EXP 	aperture: enabled = True
28.6210 	EXP 	GA: autoDraw = False
28.6210 	EXP 	aperture: enabled = False
28.6210 	EXP 	GA: autoDraw = False
28.6210 	EXP 	aperture: autoDraw = False
28.6210 	EXP 	aperture: enabled = False
28.6210 	EXP 	placeholder: autoDraw = True
28.7912 	DATA 	Keypress: escape
29.4191 	EXP 	window1: mouseVisible = True
